Mar 23 21:26:59  DbcCleanup called, will cleanup now
Mar 23 21:28:49  DbcCleanup called, will cleanup now
Mar 23 21:30:10  DbcCleanup called, will cleanup now
Mar 23 21:32:48  DbcCleanup called, will cleanup now
Mar 23 21:49:14  DbcCleanup called, will cleanup now
Mar 23 22:02:38  DbcCleanup called, will cleanup now
Mar 23 22:05:36  DbcCleanup called, will cleanup now
Mar 23 22:56:14  DbcCleanup called, will cleanup now
Mar 25 16:29:46  DbcCleanup called, will cleanup now
Mar 25 16:30:16  DbcCleanup called, will cleanup now
Mar 25 16:32:27  DbcCleanup called, will cleanup now
Mar 26 07:52:34  DbcCleanup called, will cleanup now
Mar 26 13:04:33  DbcCleanup called, will cleanup now
Mar 26 13:06:37  DbcCleanup called, will cleanup now
Mar 26 15:28:51  DbcCleanup called, will cleanup now
Mar 27 09:01:30  DbcCleanup called, will cleanup now
Mar 27 17:22:11  DbcCleanup called, will cleanup now
Mar 28 22:40:03  DbcCleanup called, will cleanup now
Mar 30 21:34:29  DbcCleanup called, will cleanup now
Mar 31 21:22:31  DbcCleanup called, will cleanup now
Apr 01 02:04:39  DbcCleanup called, will cleanup now
Apr 01 08:06:33  DbcCleanup called, will cleanup now
Apr 02 09:08:09  DbcCleanup called, will cleanup now
Apr 03 08:42:07  DbcCleanup called, will cleanup now
Apr 03 21:22:54  DbcCleanup called, will cleanup now
Apr 04 08:41:31  DbcCleanup called, will cleanup now
Apr 05 08:56:01  DbcCleanup called, will cleanup now
Apr 05 21:53:41  DbcCleanup called, will cleanup now
Apr 10 08:18:27  DbcCleanup called, will cleanup now
Apr 10 09:05:43  DbcCleanup called, will cleanup now
Apr 10 10:02:33  DbcCleanup called, will cleanup now
Apr 11 06:39:38  DbcCleanup called, will cleanup now
Apr 15 17:43:23  DbcCleanup called, will cleanup now
Apr 16 12:49:18  DbcCleanup called, will cleanup now
Apr 24 15:12:54  DbcCleanup called, will cleanup now
Apr 24 17:54:20  DbcCleanup called, will cleanup now
Apr 24 20:00:26  DbcCleanup called, will cleanup now
Apr 24 20:02:51  DbcCleanup called, will cleanup now
Apr 24 21:28:00  DbcCleanup called, will cleanup now
Apr 25 08:19:08  DbcCleanup called, will cleanup now
Apr 25 16:45:24  DbcCleanup called, will cleanup now
Apr 29 20:20:17  DbcCleanup called, will cleanup now
May 02 08:36:34  DbcCleanup called, will cleanup now
May 02 08:37:07  DbcCleanup called, will cleanup now
May 02 20:58:06  DbcCleanup called, will cleanup now
May 03 20:35:33  DbcCleanup called, will cleanup now
May 06 08:42:45  DbcCleanup called, will cleanup now
May 07 09:10:36  DbcCleanup called, will cleanup now
May 08 15:46:02  DbcCleanup called, will cleanup now
May 09 15:10:13  DbcCleanup called, will cleanup now
May 10 16:23:44  DbcCleanup called, will cleanup now
May 11 06:11:23  DbcCleanup called, will cleanup now
May 12 06:12:04  DbcCleanup called, will cleanup now
May 13 21:27:10  DbcCleanup called, will cleanup now
May 14 19:40:54  DbcCleanup called, will cleanup now
May 15 07:27:51  DbcCleanup called, will cleanup now
May 16 08:47:02  DbcCleanup called, will cleanup now
May 16 20:18:44  DbcCleanup called, will cleanup now
May 17 15:25:46  DbcCleanup called, will cleanup now
May 20 15:49:17  DbcCleanup called, will cleanup now
May 21 21:32:45  DbcCleanup called, will cleanup now
May 22 08:54:24  DbcCleanup called, will cleanup now
May 22 12:24:03  DbcCleanup called, will cleanup now
May 22 18:11:40  DbcCleanup called, will cleanup now
May 24 08:56:16  DbcCleanup called, will cleanup now
May 24 20:50:18  DbcCleanup called, will cleanup now
May 26 18:38:01  DbcCleanup called, will cleanup now
May 27 16:49:41  DbcCleanup called, will cleanup now
May 28 16:58:39  DbcCleanup called, will cleanup now
May 28 22:46:15  DbcCleanup called, will cleanup now
May 29 19:48:34  DbcCleanup called, will cleanup now
May 31 08:32:27  DbcCleanup called, will cleanup now
Jun 03 08:54:11  DbcCleanup called, will cleanup now
Jun 04 07:59:53  DbcCleanup called, will cleanup now
Jun 05 06:44:33  DbcCleanup called, will cleanup now
Jun 06 08:33:05  DbcCleanup called, will cleanup now
Jun 06 16:31:25  DbcCleanup called, will cleanup now
Jun 09 20:53:33  DbcCleanup called, will cleanup now
Jun 11 08:42:41  DbcCleanup called, will cleanup now
Jun 11 19:13:35  DbcCleanup called, will cleanup now
